Official_Name	Continent	CurrencyCode
Syrian Arab Republic	Asia	SYP
Republic of China	Asia	TWD
Tajikistan	Asia	TJS
United Republic of Tanzania	Africa	TZS
Thailand	Asia	THB
Timor-Leste	Oceania	USD
Togo	Africa	XOF
Tokelau	Oceania	NZD
Tonga	Oceania	TOP
Trinidad and Tobago	North America	TTD
Tunisia	Africa	TND
Turkey	Asia	TRY
Turkmenistan	Asia	TMT
Turks and Caicos Islands	North America	USD
Tuvalu	Oceania	AUD
United States Virgin Islands	North America	USD
Uganda	Africa	UGX
Ukraine	Europe	UAH
United Arab Emirates	Asia	AED
United Kingdom of Great Britain and Northern Ireland	Europe	GBP
United States of America	North America	USD
United States Minor Outlying Islands	Oceania	USD
Uruguay	South America	UYU
Uzbekistan	Asia	UZS
Vanuatu	Oceania	VUV
Holy See	Europe	EUR
Venezuela (Bolivarian Republic of)	South America	VES
Viet Nam	Asia	VND
Wallis and Futuna Islands	Oceania	XPF
Western Sahara	Africa	MAD
Yemen	Asia	YER
Zambia	Africa	ZMW
Zimbabwe	Africa	ZWL
